2019-09-09 17:12:41.568 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:12:41.860 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelOne
2019-09-09 17:13:22.775 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 17:13:23.526 INFO  Consumer.Program Subscriber will be subscribed to the below available channels...
2019-09-09 17:13:23.537 INFO  Consumer.Program Requesting registration, SubscriberID = 4bda0c41-37f9-4fb4-a89c-3916d4386e77, ChannelName = ChannelOne
2019-09-09 17:13:23.596 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:13:23.977 INFO  ConsoleApp1.SubscriberRegisteredHandler Subscriber Registered successfully.... ChannelName registered to: ChannelOne...
2019-09-09 17:17:18.966 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 17:17:19.845 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 17:17:20.214 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:17:33.873 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 17:17:35.771 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 17:17:37.466 INFO  Consumer.Program Requesting registration, PublisherID = ad7aabc0-bac0-4d15-9134-c2a4d57dbdae
2019-09-09 17:17:37.579 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:17:38.025 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelTwo
2019-09-09 17:17:56.660 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 17:17:59.012 INFO  Consumer.Program Unknown input. Please try again.
2019-09-09 17:17:59.017 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:18:00.962 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 17:18:01.971 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 17:18:04.135 INFO  Consumer.Program Requesting registration, PublisherID = aa520cc1-885e-421b-8191-2a638eced3f7
2019-09-09 17:18:04.190 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:18:04.465 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelOne
2019-09-09 17:30:29.734 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 17:30:30.747 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 17:30:31.246 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:57:55.823 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 17:57:58.444 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 17:57:58.785 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:58:32.487 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 17:58:33.755 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 17:58:34.318 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 17:59:44.009 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 17:59:45.104 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 17:59:45.462 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 18:00:51.561 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 18:00:53.507 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 18:00:53.965 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 18:03:15.793 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 18:03:16.834 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 18:03:17.222 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:36:09.228 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 19:36:14.839 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 19:36:16.719 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:36:20.293 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:36:22.082 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 19:36:23.832 INFO  Consumer.Program Requesting registration, PublisherID = cd6b62b0-ebc2-4c23-9d0d-c2fa831f0bf2
2019-09-09 19:36:24.608 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:36:26.116 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelOne
2019-09-09 19:36:29.749 INFO  Consumer.Program Unknown input. Please try again.
2019-09-09 19:36:29.769 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:36:31.294 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:36:35.190 INFO  Consumer.Program Subscriber will be subscribed to the below available channels...
2019-09-09 19:36:35.195 INFO  Consumer.Program Requesting registration, SubscriberID = 88efe37c-307d-4692-be00-22ce49aa9ff1, ChannelName = ChannelOne
2019-09-09 19:36:35.264 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:36:35.587 INFO  ConsoleApp1.SubscriberRegisteredHandler Subscriber Registered successfully.... ChannelName registered to: ChannelOne...
2019-09-09 19:37:32.583 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 19:37:33.434 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 19:37:33.857 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:37:52.986 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:37:55.310 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 19:37:57.397 INFO  Consumer.Program Requesting registration, PublisherID = dad3ef6c-3f64-4630-ae4d-4e44c55304df
2019-09-09 19:37:57.524 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:37:57.772 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelOne
2019-09-09 19:37:59.961 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:38:01.312 INFO  Consumer.Program Subscriber will be subscribed to the below available channels...
2019-09-09 19:38:01.328 INFO  Consumer.Program Requesting registration, SubscriberID = 696d4149-b6d5-4c53-a32a-1b5ed649ca93, ChannelName = ChannelOne
2019-09-09 19:38:01.404 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:38:01.697 INFO  ConsoleApp1.SubscriberRegisteredHandler Subscriber Registered successfully.... ChannelName registered to: ChannelOne...
2019-09-09 19:38:26.653 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 19:38:27.787 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 19:38:28.183 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:38:34.715 INFO  Consumer.Program Unknown input. Please try again.
2019-09-09 19:38:34.724 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:38:37.896 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:38:40.658 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 19:38:43.143 INFO  Consumer.Program Requesting registration, PublisherID = 4de46037-c1bd-468d-9e8b-e3b4e416b75f
2019-09-09 19:38:43.278 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:38:43.683 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelTwo
2019-09-09 19:38:45.788 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:38:47.704 INFO  Consumer.Program Subscriber will be subscribed to the below available channels...
2019-09-09 19:38:47.712 INFO  Consumer.Program Requesting registration, SubscriberID = 3621171f-722b-4d18-8788-a7b578600d52, ChannelName = ChannelTwo
2019-09-09 19:38:47.830 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:38:48.120 INFO  ConsoleApp1.SubscriberRegisteredHandler Subscriber Registered successfully.... ChannelName registered to: ChannelTwo...
2019-09-09 19:42:06.322 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
2019-09-09 19:42:07.945 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-09-03'.

2019-09-09 19:42:08.307 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:42:14.230 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:42:15.864 INFO  Consumer.Program Press 'F' to Register PublsiherOne and 'S' to Register PublisherTwo
2019-09-09 19:42:17.515 INFO  Consumer.Program Requesting registration, PublisherID = 9a279407-d927-43a3-a9e1-e0dc554e02a3
2019-09-09 19:42:17.627 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:42:18.149 INFO  Channel.PublisherRegisteredHandler Publisher Registered successfully..., NominatedChannelName = ChannelOne
2019-09-09 19:42:21.082 INFO  Consumer.Program Press 'P' to Register a Publisher, 'S' to Register a Subscriber
2019-09-09 19:42:22.608 INFO  Consumer.Program Subscriber will be subscribed to the below available channels...
2019-09-09 19:42:22.619 INFO  Consumer.Program Requesting registration, SubscriberID = 92b2c904-46b2-4d25-9e68-ae91e08aef01, ChannelName = ChannelOne
2019-09-09 19:42:22.722 INFO  Consumer.Program Press 'R' to Register, 'D' to Deregister, 'L' to View list of available channels or 'Q' to quit.
2019-09-09 19:42:23.041 INFO  ConsoleApp1.SubscriberRegisteredHandler Subscriber Registered successfully.... ChannelName registered to: ChannelOne...
2019-09-09 19:48:18.314 INFO  DefaultFactory Logging to 'C:\Users\Chetana.Prabhu\Source\Repos\MessageBusFunProject\MessageBusFun\ConsoleApp1\bin\Debug\' with level Info
